order_id,order_region,market,shipping_mode,total_line_items,total_item_units,total_order_value,actual_shipping_days,scheduled_shipping_days,max_lead_time_variance,is_late_delivery,complexity_bucket
37200,West of USA,USCA,Standard Class,5,12.0,667.76,6,4,2,1,High Complexity (5+)
54968,Central America,LATAM,Standard Class,4,11.0,774.8,4,4,0,0,Medium Complexity (3-4)
38559,East of USA,USCA,Standard Class,4,12.0,682.91,5,4,1,1,Medium Complexity (3-4)
32669,West of USA,USCA,Standard Class,3,8.0,758.93,5,4,1,1,Medium Complexity (3-4)
45860,North Africa,Africa,Standard Class,4,14.0,532.2,6,4,2,1,Medium Complexity (3-4)
51695,Caribbean,LATAM,Same Day,3,3.0,793.95,1,0,1,1,Medium Complexity (3-4)
74310,Eastern Asia,Pacific Asia,Same Day,1,1.0,9.82,1,0,1,1,Single Item (1)
38356,West of USA,USCA,Same Day,1,2.0,93.0,1,0,1,1,Single Item (1)
8531,Caribbean,LATAM,Same Day,5,12.0,702.88,1,0,1,1,High Complexity (5+)
61926,Northern Europe,Europe,Second Class,3,7.0,670.73,2,2,0,0,Medium Complexity (3-4)
19733,Western Europe,Europe,Second Class,5,9.0,554.91,4,2,2,1,High Complexity (5+)
14094,Western Europe,Europe,Second Class,3,5.0,231.83,5,2,3,1,Medium Complexity (3-4)
12390,Western Europe,Europe,Second Class,2,3.0,130.77,6,2,4,1,Low Complexity (2)
19960,Western Europe,Europe,Second Class,4,8.0,641.81,6,2,4,1,Medium Complexity (3-4)
71412,Western Europe,Europe,Second Class,1,1.0,134.79,3,2,1,1,Single Item (1)
58089,Central America,LATAM,Second Class,5,6.0,374.12,5,2,3,1,High Complexity (5+)
6286,South America,LATAM,Second Class,5,8.0,1416.79,2,2,0,0,High Complexity (5+)
2292,South America,LATAM,Second Class,3,10.0,673.87,3,2,1,1,Medium Complexity (3-4)
72229,South Asia,Pacific Asia,Second Class,1,1.0,263.74,5,2,3,1,Single Item (1)
74417,South Asia,Pacific Asia,Second Class,1,1.0,321.39,3,2,1,1,Single Item (1)
26274,Southeast Asia,Pacific Asia,Second Class,3,6.0,572.69,5,2,3,1,Medium Complexity (3-4)
30068,South Asia,Pacific Asia,Second Class,5,9.0,875.85,4,2,2,1,High Complexity (5+)
30149,Oceania,Pacific Asia,Second Class,4,8.0,357.03,5,2,3,1,Medium Complexity (3-4)
24113,Southeast Asia,Pacific Asia,Second Class,3,4.0,678.93,4,2,2,1,Medium Complexity (3-4)
20917,Oceania,Pacific Asia,Second Class,3,5.0,908.93,3,2,1,1,Medium Complexity (3-4)
28694,South Asia,Pacific Asia,Second Class,2,5.0,406.99,5,2,3,1,Low Complexity (2)
72737,Eastern Asia,Pacific Asia,Second Class,1,1.0,246.31,3,2,1,1,Single Item (1)
37997,West of USA,USCA,Second Class,3,3.0,516.47,3,2,1,1,Medium Complexity (3-4)
33827,South of  USA,USCA,Second Class,3,4.0,382.87,3,2,1,1,Medium Complexity (3-4)
37666,US Center,USCA,Second Class,5,5.0,633.54,2,2,0,0,High Complexity (5+)
35403,US Center,USCA,Second Class,3,7.0,535.34,4,2,2,1,Medium Complexity (3-4)
37268,West of USA,USCA,Second Class,4,4.0,675.3,4,2,2,1,Medium Complexity (3-4)
33145,West of USA,USCA,Second Class,5,13.0,758.9,6,2,4,1,High Complexity (5+)
32998,East of USA,USCA,Second Class,1,1.0,47.99,4,2,2,1,Single Item (1)
31883,South of  USA,USCA,Second Class,5,14.0,677.36,4,2,2,1,High Complexity (5+)
32244,East of USA,USCA,Second Class,2,6.0,322.4,5,2,3,1,Low Complexity (2)
35660,US Center,USCA,Second Class,5,12.0,740.32,6,2,4,1,High Complexity (5+)
35162,West of USA,USCA,Second Class,4,9.0,567.55,3,2,1,1,Medium Complexity (3-4)
35624,East of USA,USCA,Second Class,1,1.0,251.98,5,2,3,1,Single Item (1)
53321,Central America,LATAM,Second Class,5,11.0,1190.93,2,2,0,0,High Complexity (5+)
41446,West Asia,Pacific Asia,Second Class,3,6.0,646.13,2,2,0,0,Medium Complexity (3-4)
41567,West Asia,Pacific Asia,Second Class,4,9.0,1130.89,3,2,1,1,Medium Complexity (3-4)
66979,Western Europe,Europe,Second Class,4,9.0,604.44,5,2,3,1,Medium Complexity (3-4)
31197,Oceania,Pacific Asia,Second Class,2,6.0,206.95,3,2,1,1,Low Complexity (2)
61445,South America,LATAM,Second Class,2,6.0,317.93,6,2,4,1,Low Complexity (2)
48856,West Africa,Africa,Standard Class,3,5.0,456.75,2,4,-2,0,Medium Complexity (3-4)
46360,North Africa,Africa,Standard Class,1,1.0,120.89,6,4,2,1,Single Item (1)
44161,Central Africa,Africa,Standard Class,1,1.0,116.99,2,4,-2,0,Single Item (1)
44412,East Africa,Africa,Standard Class,3,5.0,594.69,3,4,-1,0,Medium Complexity (3-4)
45083,East Africa,Africa,Standard Class,2,5.0,418.1,4,4,0,0,Low Complexity (2)
12937,Northern Europe,Europe,Standard Class,3,6.0,681.94,3,4,-1,0,Medium Complexity (3-4)
70754,Western Europe,Europe,Standard Class,1,1.0,1440.0,5,4,1,1,Single Item (1)
69513,Western Europe,Europe,Standard Class,1,1.0,393.27,4,4,0,0,Single Item (1)
71134,Western Europe,Europe,Standard Class,1,1.0,207.36,5,4,1,1,Single Item (1)
65799,Western Europe,Europe,Standard Class,4,10.0,494.39,5,4,1,1,Medium Complexity (3-4)
15230,Southern Europe,Europe,Standard Class,1,1.0,128.69,6,4,2,1,Single Item (1)
44490,Eastern Europe,Europe,Standard Class,3,6.0,428.54,6,4,2,1,Medium Complexity (3-4)
18611,Northern Europe,Europe,Standard Class,4,4.0,697.86,2,4,-2,0,Medium Complexity (3-4)
12723,Western Europe,Europe,Standard Class,4,5.0,510.86,4,4,0,0,Medium Complexity (3-4)
67209,Western Europe,Europe,Standard Class,2,2.0,284.78,5,4,1,1,Low Complexity (2)
13003,Western Europe,Europe,Standard Class,4,12.0,715.93,4,4,0,0,Medium Complexity (3-4)
45341,Eastern Europe,Europe,Standard Class,2,6.0,294.25,2,4,-2,0,Low Complexity (2)
63467,Southern Europe,Europe,Standard Class,2,2.0,231.38,3,4,-1,0,Low Complexity (2)
64275,Western Europe,Europe,Standard Class,5,12.0,954.43,6,4,2,1,High Complexity (5+)
68685,Western Europe,Europe,Standard Class,2,4.0,233.89,6,4,2,1,Low Complexity (2)
64819,Southern Europe,Europe,Standard Class,2,2.0,457.47,5,4,1,1,Low Complexity (2)
68609,Western Europe,Europe,Standard Class,4,9.0,591.48,5,4,1,1,Medium Complexity (3-4)
20133,Western Europe,Europe,Standard Class,2,5.0,519.95,4,4,0,0,Low Complexity (2)
10641,Western Europe,Europe,Standard Class,3,6.0,627.72,2,4,-2,0,Medium Complexity (3-4)
11592,Southern Europe,Europe,Standard Class,5,7.0,850.94,3,4,-1,0,High Complexity (5+)
18320,Southern Europe,Europe,Standard Class,5,13.0,757.65,6,4,2,1,High Complexity (5+)
68580,Western Europe,Europe,Standard Class,1,1.0,224.99,6,4,2,1,Single Item (1)
13110,Western Europe,Europe,Standard Class,4,12.0,869.89,6,4,2,1,Medium Complexity (3-4)
6931,Central America,LATAM,Standard Class,5,6.0,1264.93,2,4,-2,0,High Complexity (5+)
60731,Caribbean,LATAM,Standard Class,5,6.0,463.44,2,4,-2,0,High Complexity (5+)
55186,Central America,LATAM,Standard Class,1,1.0,97.99,2,4,-2,0,Single Item (1)
52065,Central America,LATAM,Standard Class,5,11.0,727.1,6,4,2,1,High Complexity (5+)
244,Caribbean,LATAM,Standard Class,4,5.0,618.42,5,4,1,1,Medium Complexity (3-4)
6296,Central America,LATAM,Standard Class,5,9.0,579.31,2,4,-2,0,High Complexity (5+)
54653,Central America,LATAM,Standard Class,5,9.0,1163.16,4,4,0,0,High Complexity (5+)
55986,Central America,LATAM,Standard Class,4,7.0,872.01,2,4,-2,0,Medium Complexity (3-4)
51362,Caribbean,LATAM,Standard Class,5,13.0,715.6,3,4,-1,0,High Complexity (5+)
52222,Central America,LATAM,Standard Class,3,8.0,289.74,3,4,-1,0,Medium Complexity (3-4)
4091,Central America,LATAM,Standard Class,5,9.0,809.16,2,4,-2,0,High Complexity (5+)
55444,Central America,LATAM,Standard Class,1,1.0,120.89,5,4,1,1,Single Item (1)
3768,Central America,LATAM,Standard Class,3,7.0,470.88,4,4,0,0,Medium Complexity (3-4)
61258,Central America,LATAM,Standard Class,4,8.0,816.26,4,4,0,0,Medium Complexity (3-4)
1346,Central America,LATAM,Standard Class,1,1.0,118.29,2,4,-2,0,Single Item (1)
6763,Central America,LATAM,Standard Class,4,12.0,720.34,4,4,0,0,Medium Complexity (3-4)
10244,South America,LATAM,Standard Class,5,14.0,1052.88,5,4,1,1,High Complexity (5+)
6479,South America,LATAM,Standard Class,4,12.0,638.18,5,4,1,1,Medium Complexity (3-4)
6873,Central America,LATAM,Standard Class,3,3.0,615.66,4,4,0,0,Medium Complexity (3-4)
54157,Central America,LATAM,Standard Class,2,4.0,221.69,3,4,-1,0,Low Complexity (2)
8134,Central America,LATAM,Standard Class,4,9.0,482.1,5,4,1,1,Medium Complexity (3-4)
56367,South America,LATAM,Standard Class,4,5.0,679.34,3,4,-1,0,Medium Complexity (3-4)
2537,South America,LATAM,Standard Class,2,2.0,435.97,3,4,-1,0,Low Complexity (2)
2864,South America,LATAM,Standard Class,1,1.0,49.5,5,4,1,1,Single Item (1)
161,Caribbean,LATAM,Standard Class,4,5.0,714.47,2,4,-2,0,Medium Complexity (3-4)
56286,Central America,LATAM,Standard Class,3,4.0,351.57,2,4,-2,0,Medium Complexity (3-4)
52542,South America,LATAM,Standard Class,3,8.0,290.6,3,4,-1,0,Medium Complexity (3-4)
7756,Central America,LATAM,Standard Class,2,5.0,402.58,2,4,-2,0,Low Complexity (2)
6151,Central America,LATAM,Standard Class,1,1.0,383.98,2,4,-2,0,Single Item (1)
53511,Central America,LATAM,Standard Class,3,3.0,864.94,2,4,-2,0,Medium Complexity (3-4)
4056,South America,LATAM,Standard Class,3,5.0,525.93,2,4,-2,0,Medium Complexity (3-4)
7622,South America,LATAM,Standard Class,5,12.0,1091.92,3,4,-1,0,High Complexity (5+)
22983,Oceania,Pacific Asia,Standard Class,5,8.0,561.13,4,4,0,0,High Complexity (5+)
46034,West Asia,Pacific Asia,Standard Class,4,10.0,529.0,5,4,1,1,Medium Complexity (3-4)
24814,Oceania,Pacific Asia,Standard Class,4,13.0,773.92,5,4,1,1,Medium Complexity (3-4)
30926,Oceania,Pacific Asia,Standard Class,4,8.0,695.12,2,4,-2,0,Medium Complexity (3-4)
29553,Southeast Asia,Pacific Asia,Standard Class,4,11.0,511.32,4,4,0,0,Medium Complexity (3-4)
27499,Southeast Asia,Pacific Asia,Standard Class,4,9.0,568.62,5,4,1,1,Medium Complexity (3-4)
25446,South Asia,Pacific Asia,Standard Class,4,4.0,715.85,2,4,-2,0,Medium Complexity (3-4)
73787,South Asia,Pacific Asia,Standard Class,1,1.0,205.03,3,4,-1,0,Single Item (1)
25822,Eastern Asia,Pacific Asia,Standard Class,4,4.0,886.71,3,4,-1,0,Medium Complexity (3-4)
72535,Oceania,Pacific Asia,Standard Class,1,1.0,199.25,6,4,2,1,Single Item (1)
74072,South Asia,Pacific Asia,Standard Class,1,1.0,54.94,3,4,-1,0,Single Item (1)
20436,Oceania,Pacific Asia,Standard Class,3,4.0,341.92,2,4,-2,0,Medium Complexity (3-4)
27574,Eastern Asia,Pacific Asia,Standard Class,4,7.0,827.02,5,4,1,1,Medium Complexity (3-4)
23454,Southeast Asia,Pacific Asia,Standard Class,1,1.0,109.19,5,4,1,1,Single Item (1)
45770,South Asia,Pacific Asia,Standard Class,1,1.0,107.89,6,4,2,1,Single Item (1)
77003,Oceania,Pacific Asia,Standard Class,1,1.0,172.66,4,4,0,0,Single Item (1)
29636,Oceania,Pacific Asia,Standard Class,4,14.0,795.77,2,4,-2,0,Medium Complexity (3-4)
74427,Southeast Asia,Pacific Asia,Standard Class,1,1.0,267.83,3,4,-1,0,Single Item (1)
28397,Southeast Asia,Pacific Asia,Standard Class,4,6.0,668.81,3,4,-1,0,Medium Complexity (3-4)
41708,West Asia,Pacific Asia,Standard Class,5,16.0,801.46,4,4,0,0,High Complexity (5+)
46747,West Asia,Pacific Asia,Standard Class,2,4.0,184.84,3,4,-1,0,Low Complexity (2)
49185,South Asia,Pacific Asia,Standard Class,1,1.0,50.43,6,4,2,1,Single Item (1)
23253,Southeast Asia,Pacific Asia,Standard Class,3,9.0,515.93,4,4,0,0,Medium Complexity (3-4)
71833,Eastern Asia,Pacific Asia,Standard Class,1,1.0,479.32,4,4,0,0,Single Item (1)
72012,Eastern Asia,Pacific Asia,Standard Class,1,1.0,468.67,3,4,-1,0,Single Item (1)
71848,South Asia,Pacific Asia,Standard Class,1,1.0,452.69,4,4,0,0,Single Item (1)
24508,South Asia,Pacific Asia,Standard Class,3,3.0,645.95,4,4,0,0,Medium Complexity (3-4)
71987,Oceania,Pacific Asia,Standard Class,1,1.0,399.44,3,4,-1,0,Single Item (1)
53281,Central America,LATAM,Standard Class,3,7.0,375.93,2,4,-2,0,Medium Complexity (3-4)
7235,South America,LATAM,Standard Class,3,8.0,459.99,6,4,2,1,Medium Complexity (3-4)
9055,Central America,LATAM,Standard Class,4,12.0,659.07,6,4,2,1,Medium Complexity (3-4)
51236,West Asia,Pacific Asia,Standard Class,4,12.0,633.47,2,4,-2,0,Medium Complexity (3-4)
45283,West Asia,Pacific Asia,Standard Class,3,7.0,306.57,4,4,0,0,Medium Complexity (3-4)
49845,South Asia,Pacific Asia,Standard Class,2,3.0,201.87,6,4,2,1,Low Complexity (2)
24768,Eastern Asia,Pacific Asia,Standard Class,5,15.0,775.5,4,4,0,0,High Complexity (5+)
25595,Southeast Asia,Pacific Asia,Standard Class,3,7.0,205.13,6,4,2,1,Medium Complexity (3-4)
23512,Southeast Asia,Pacific Asia,Standard Class,5,17.0,783.04,3,4,-1,0,High Complexity (5+)
37423,West of USA,USCA,Standard Class,5,16.0,868.08,4,4,0,0,High Complexity (5+)
33962,South of  USA,USCA,Standard Class,3,4.0,826.94,3,4,-1,0,Medium Complexity (3-4)
31374,US Center,USCA,Standard Class,1,2.0,118.78,5,4,1,1,Single Item (1)
32273,West of USA,USCA,Standard Class,2,3.0,235.07,4,4,0,0,Low Complexity (2)
31973,US Center,USCA,Standard Class,4,9.0,993.29,4,4,0,0,Medium Complexity (3-4)
32147,West of USA,USCA,Standard Class,3,4.0,653.95,3,4,-1,0,Medium Complexity (3-4)
34509,US Center,USCA,Standard Class,2,3.0,335.36,5,4,1,1,Low Complexity (2)
35346,East of USA,USCA,Standard Class,2,3.0,273.99,2,4,-2,0,Low Complexity (2)
42980,East Africa,Africa,Standard Class,1,3.0,174.57,6,4,2,1,Single Item (1)
51166,Southern Africa,Africa,Standard Class,1,3.0,119.97,2,4,-2,0,Single Item (1)
46338,Central Africa,Africa,Standard Class,2,4.0,107.66,4,4,0,0,Low Complexity (2)
68837,Western Europe,Europe,Standard Class,2,4.0,2104.96,3,4,-1,0,Low Complexity (2)
16848,Southern Europe,Europe,Standard Class,1,3.0,125.52,4,4,0,0,Single Item (1)
66858,Western Europe,Europe,Standard Class,4,7.0,695.95,4,4,0,0,Medium Complexity (3-4)
13554,Western Europe,Europe,Standard Class,5,9.0,562.23,5,4,1,1,High Complexity (5+)
12730,Western Europe,Europe,Standard Class,3,7.0,468.86,6,4,2,1,Medium Complexity (3-4)
67731,Northern Europe,Europe,Standard Class,3,5.0,428.05,2,4,-2,0,Medium Complexity (3-4)
66350,Northern Europe,Europe,Standard Class,4,6.0,899.33,6,4,2,1,Medium Complexity (3-4)
64894,Western Europe,Europe,Standard Class,5,12.0,1099.7,5,4,1,1,High Complexity (5+)
16522,Northern Europe,Europe,Standard Class,3,5.0,533.87,3,4,-1,0,Medium Complexity (3-4)
65440,Western Europe,Europe,Standard Class,4,6.0,757.44,6,4,2,1,Medium Complexity (3-4)
17382,Southern Europe,Europe,Standard Class,4,8.0,397.39,3,4,-1,0,Medium Complexity (3-4)
45026,Eastern Europe,Europe,Standard Class,1,3.0,239.98,2,4,-2,0,Single Item (1)
2736,Central America,LATAM,Standard Class,2,4.0,356.56,2,4,-2,0,Low Complexity (2)
51851,South America,LATAM,Standard Class,2,4.0,299.36,2,4,-2,0,Low Complexity (2)
7636,Central America,LATAM,Standard Class,2,4.0,344.06,2,4,-2,0,Low Complexity (2)
4496,Caribbean,LATAM,Standard Class,5,11.0,1178.83,2,4,-2,0,High Complexity (5+)
5793,Central America,LATAM,Standard Class,1,3.0,118.77,4,4,0,0,Single Item (1)
5266,South America,LATAM,Standard Class,5,12.0,790.9,2,4,-2,0,High Complexity (5+)
8573,Central America,LATAM,Standard Class,2,5.0,192.54,4,4,0,0,Low Complexity (2)
1813,Central America,LATAM,Standard Class,5,11.0,473.62,4,4,0,0,High Complexity (5+)
7347,Caribbean,LATAM,Standard Class,2,7.0,335.5,3,4,-1,0,Low Complexity (2)
7182,Central America,LATAM,Standard Class,5,17.0,952.06,3,4,-1,0,High Complexity (5+)
2585,South America,LATAM,Standard Class,4,11.0,809.42,6,4,2,1,Medium Complexity (3-4)
1820,Central America,LATAM,Standard Class,2,7.0,103.62,6,4,2,1,Low Complexity (2)
8880,Central America,LATAM,Standard Class,3,8.0,253.66,6,4,2,1,Medium Complexity (3-4)
1750,Central America,LATAM,Standard Class,1,3.0,224.98,6,4,2,1,Single Item (1)
26609,Oceania,Pacific Asia,Standard Class,2,7.0,423.97,5,4,1,1,Low Complexity (2)
31180,Oceania,Pacific Asia,Standard Class,1,3.0,179.97,6,4,2,1,Single Item (1)
50042,South Asia,Pacific Asia,Standard Class,4,7.0,571.5,3,4,-1,0,Medium Complexity (3-4)
25653,Oceania,Pacific Asia,Standard Class,2,4.0,479.15,4,4,0,0,Low Complexity (2)
26088,Southeast Asia,Pacific Asia,Standard Class,4,13.0,791.83,4,4,0,0,Medium Complexity (3-4)
26660,Southeast Asia,Pacific Asia,Standard Class,2,7.0,317.38,6,4,2,1,Low Complexity (2)
20552,Oceania,Pacific Asia,Standard Class,1,3.0,150.0,3,4,-1,0,Single Item (1)
24093,Oceania,Pacific Asia,Standard Class,5,14.0,1018.46,4,4,0,0,High Complexity (5+)
28670,Eastern Asia,Pacific Asia,Standard Class,5,14.0,1088.74,6,4,2,1,High Complexity (5+)
41213,US Center,USCA,Standard Class,5,7.0,926.44,4,4,0,0,High Complexity (5+)
40302,US Center,USCA,Standard Class,5,13.0,854.58,3,4,-1,0,High Complexity (5+)
33623,East of USA,USCA,Standard Class,1,3.0,139.5,4,4,0,0,Single Item (1)
33375,East of USA,USCA,Standard Class,5,11.0,731.24,6,4,2,1,High Complexity (5+)
40723,West of USA,USCA,Standard Class,5,11.0,1002.52,4,4,0,0,High Complexity (5+)
37940,West of USA,USCA,Standard Class,3,5.0,303.72,6,4,2,1,Medium Complexity (3-4)
38184,West of USA,USCA,Standard Class,5,7.0,738.96,5,4,1,1,High Complexity (5+)
36832,South of  USA,USCA,Standard Class,5,10.0,1198.69,3,4,-1,0,High Complexity (5+)
47355,Central Africa,Africa,Standard Class,3,7.0,579.94,6,4,2,1,Medium Complexity (3-4)
47746,West Africa,Africa,Standard Class,5,12.0,1202.32,2,4,-2,0,High Complexity (5+)
67164,Western Europe,Europe,Standard Class,4,8.0,842.94,5,4,1,1,Medium Complexity (3-4)
11222,Western Europe,Europe,Standard Class,3,6.0,593.83,3,4,-1,0,Medium Complexity (3-4)
18094,Western Europe,Europe,Standard Class,5,11.0,632.34,5,4,1,1,High Complexity (5+)
65855,Western Europe,Europe,Standard Class,4,15.0,936.08,6,4,2,1,Medium Complexity (3-4)
18912,Northern Europe,Europe,Standard Class,1,4.0,203.97,3,4,-1,0,Single Item (1)
65576,Northern Europe,Europe,Standard Class,4,8.0,841.02,2,4,-2,0,Medium Complexity (3-4)
13542,Southern Europe,Europe,Standard Class,4,10.0,565.99,3,4,-1,0,Medium Complexity (3-4)
63671,Western Europe,Europe,Standard Class,1,4.0,196.0,2,4,-2,0,Single Item (1)
15102,Northern Europe,Europe,Standard Class,4,8.0,605.11,3,4,-1,0,Medium Complexity (3-4)
64587,Southern Europe,Europe,Standard Class,1,4.0,190.0,3,4,-1,0,Single Item (1)
14125,Southern Europe,Europe,Standard Class,5,9.0,636.65,6,4,2,1,High Complexity (5+)
48598,Eastern Europe,Europe,Standard Class,3,7.0,551.48,4,4,0,0,Medium Complexity (3-4)
66689,Western Europe,Europe,Standard Class,4,12.0,894.35,5,4,1,1,Medium Complexity (3-4)
14294,Southern Europe,Europe,Standard Class,4,11.0,462.81,5,4,1,1,Medium Complexity (3-4)
63499,Northern Europe,Europe,Standard Class,2,5.0,236.66,5,4,1,1,Low Complexity (2)
63445,Southern Europe,Europe,Standard Class,4,12.0,802.91,6,4,2,1,Medium Complexity (3-4)
16774,Western Europe,Europe,Standard Class,1,4.0,164.0,5,4,1,1,Single Item (1)
10415,Western Europe,Europe,Standard Class,4,11.0,727.4,6,4,2,1,Medium Complexity (3-4)
17486,Southern Europe,Europe,Standard Class,4,7.0,524.03,2,4,-2,0,Medium Complexity (3-4)
13195,Western Europe,Europe,Standard Class,3,6.0,470.94,6,4,2,1,Medium Complexity (3-4)
19647,Southern Europe,Europe,Standard Class,3,9.0,484.72,3,4,-1,0,Medium Complexity (3-4)
9562,South America,LATAM,Standard Class,5,12.0,1170.11,3,4,-1,0,High Complexity (5+)
1392,Caribbean,LATAM,Standard Class,3,6.0,455.65,3,4,-1,0,Medium Complexity (3-4)
7043,Central America,LATAM,Standard Class,4,16.0,861.43,4,4,0,0,Medium Complexity (3-4)
53894,Central America,LATAM,Standard Class,4,11.0,945.1,5,4,1,1,Medium Complexity (3-4)
8477,Central America,LATAM,Standard Class,4,12.0,1028.11,3,4,-1,0,Medium Complexity (3-4)
1096,South America,LATAM,Standard Class,5,9.0,1080.91,2,4,-2,0,High Complexity (5+)
52875,South America,LATAM,Standard Class,2,5.0,593.94,6,4,2,1,Low Complexity (2)
58030,Central America,LATAM,Standard Class,5,8.0,868.02,6,4,2,1,High Complexity (5+)
52136,South America,LATAM,Standard Class,3,10.0,409.26,2,4,-2,0,Medium Complexity (3-4)
4285,Caribbean,LATAM,Standard Class,5,17.0,1022.48,6,4,2,1,High Complexity (5+)
2602,Central America,LATAM,Standard Class,4,12.0,678.41,3,4,-1,0,Medium Complexity (3-4)
51815,South America,LATAM,Standard Class,3,8.0,390.3,6,4,2,1,Medium Complexity (3-4)
59109,Central America,LATAM,Standard Class,5,9.0,949.41,5,4,1,1,High Complexity (5+)
7455,Central America,LATAM,Standard Class,5,8.0,854.21,6,4,2,1,High Complexity (5+)
1194,Caribbean,LATAM,Standard Class,4,7.0,943.92,5,4,1,1,Medium Complexity (3-4)
43469,West Asia,Pacific Asia,Standard Class,5,10.0,888.07,5,4,1,1,High Complexity (5+)
26787,Oceania,Pacific Asia,Standard Class,5,9.0,703.58,3,4,-1,0,High Complexity (5+)
28115,Eastern Asia,Pacific Asia,Standard Class,1,4.0,192.0,6,4,2,1,Single Item (1)
28267,Southeast Asia,Pacific Asia,Standard Class,4,10.0,813.91,3,4,-1,0,Medium Complexity (3-4)
26742,Oceania,Pacific Asia,Standard Class,5,13.0,731.34,3,4,-1,0,High Complexity (5+)
